"GeoFips","GeoName","LineCode","Description","2019:Q1","2019:Q2","2019:Q3","2019:Q4"
"53000","Washington","12","      Manufacturing",0.42,0.11,-0.04,-0.18
"53000","Washington","45","      Information",4.54,1.62,0.65,0.91
"53000","Washington","51","      Finance and insurance",0.73,-0.08,-0.07,0.49
"54000","West Virginia","12","      Manufacturing",-1.27,0.16,0.57,0.06
"54000","West Virginia","45","      Information",-0.56,0.21,0.11,0.13
"54000","West Virginia","51","      Finance and insurance",0.02,-0.06,-0.01,0.53
"55000","Wisconsin","12","      Manufacturing",-0.18,1.40,1.06,0.12
"55000","Wisconsin","45","      Information",0.55,0.33,0.14,0.21
"55000","Wisconsin","51","      Finance and insurance",1.10,-0.06,-0.45,0.29
"56000","Wyoming","12","      Manufacturing",1.97,2.26,1.68,0.44
"56000","Wyoming","45","      Information",-0.29,0.10,0.06,0.09
"56000","Wyoming","51","      Finance and insurance",0.30,-0.19,-0.12,0.35
